Dx,SNOMED CT Code,Abbreviation,描述,心电表现,,
1st degree av block,270492004,IAVB,1度房室传导阻滞，心脏传导由心房到心室的传导时间有所延长，超过0.2秒(正常为0.12-0.20秒),P波增宽，PR间期>0.2s，每个P波后均有QRS波。,,
atrial fibrillation,164889003,AF,房颤,P波消失，代之以快速、大小不等、形态各异的F波,,
atrial flutter,164890007,AFL,房扑,P波消失，代之以大小形态基本相同的F波,,
bradycardia,426627000,Brady,心动过缓,P波在l、ll、AVF导联直立，AVR导联倒置，PR间期为0.12-0.20秒,,
complete right bundle branch block,713427006,CRBBB,完全性右束支传导阻滞,①QRS波群时限≥0.12s；②V1或V2导联QRS呈rsR′型或M型，此为最具特征性的改变；Ⅰ、V5、V6导联S波增宽而有切迹，其时限≥0.04s；aVR导联呈QR型，其R波宽而有切迹；V1导联R峰时间>0.05s；V1、V2导联ST段轻度压低，T波倒置；Ⅰ、V5、V6导联T波方向一般与终末S波方向相反，仍为直立。,,
incomplete right bundle branch block,713426002,IRBBB,不完全性右束支传导阻滞,①QRS波群时限<0.12秒；②QRS波群形态改变：V1或V2导联呈rsR'型或M形；I、V5、V6导联S波增宽而有切迹，时限≥0.04s；aVR导联呈QR型，R波宽而有切迹；V1导联R波时间>0.05s；（3）ST-T改变：V1、V2导联ST段轻度压低，T波倒置；I、V5、V6导联T波方向一般与S波相反，仍为直立。,,
left anterior fascicular block,445118002,LAnFB,左前分支阻滞,QRS波群时间正常，I，aVL导联QRS波呈qR型，RaVL大于RI和RaVR，II、III、aVF导联呈rS型，SIII＞SII＞rII。v1到v6导联R波振幅降低，v3到v6导联S波加深，呈RS型,,
left axis deviation,39732003,LAD,心电轴左偏,心电图上的心电轴，通常指额面上QRS心电轴，常用QRS波群最大向量，在额面上用与I导联所成的角度来表示，代表心室除极的大小和方向，正常心电轴指向左下方，在0-90度。心电轴左偏是指I导联中的QRS波群主波向上，aVF导联主波向下。,,
left bundle branch block,164909002,LBBB,左束支传导阻滞,"（1）QRS波图形改变：①左侧导联（V5、V6、Ⅰ、aVL导联）出现宽大、顶端粗钝、有切迹的R波。除aVL导联外均无q波。②右胸V1、V2导联呈rs型（非常小的r波后继一深而宽的S波）。V1、V2导联偶呈QS型，V3导联罕见QS型。胸前导联顺时针转位。③Ⅲ、aVF、aVR导联QRS波多呈QS型。
（2）QRS波时限≥0.12s（多为0.14s左右）。
（3）V5、V6导联室壁激动时间（R峰时间）≥0.06s（大多>0.08s），V1、V2导联室壁激动时间正常。
（4）ST-T改变：ST-T方向与QRS主波方向相反，V1导联ST段略抬高，T波直立；V5、V6导联ST段压低，T波倒置；Ⅰ、aVL导联ST段压低，T波倒置；Ⅲ、avF、avR导联ST段往往有不同程度升高，T波直立。
",,
low qrs voltages,251146004,LQRSV,QRS低电压,qrs这个波段的振幅度偏低,没有太大诊断意义,
nonspecific intraventricular conduction disorder,698252002,NSIVCB,非特异性室内传导阻滞,"QRS轻度延长(<120毫秒),QRS波群形态和电轴不符合典型的某种分支阻滞.传导延迟是在蒲肯野心肌纤维之外,使细胞与细胞间的传导减慢,这在急性心肌梗死时常见.无特殊治疗",没有太大诊断意义,无需特殊治疗
pacing rhythm,10370003,PR,起搏心律,起搏心律是指心脏置入了起搏器以后，患者的心电图上可以显示出由起搏器发出冲动而引起心脏的跳动，展现为节律性波形，一般比较慢，因为起搏器的起搏下限，会设定在50-60次/分。,没有太大诊断意义,
premature atrial contraction,284470004,PAC,房性（期前收缩）早搏,P波提前发生,,无需治疗
premature ventricular contractions,427172004,PVC,室性（期前收缩）早搏,主要特点：(一) 提前发生的QRS波群，时限通常超过0.12s、宽阔畸形，ST段与T波的方向与QRS波群主波方向相反。,,
prolonged pr interval,164947007,LPR,长PR间期综合症,PR间期显著延长(>0.355)，表现为一度房窒传导阻滞或房窒结慢径路传导。,没有太大诊断意义,
prolonged qt interval,111975006,LQT,QT 间期延长综合征,具有心电图上QT间期延长、室性心律失常、晕厥和猝死的一组综合征。Q-T间期延长、T波宽大，可有切迹、双相或倒置,,
qwave abnormal,164917005,QAb,异常Q波,要根据实际情况结合病史及其它辅助检查来判断异常Q波是否存在临床意义。,没有太大诊断意义,
right axis deviation,47665007,RAD,心电轴右偏,,,
sinus arrhythmia,427393009,SA,迷走神经性心律失常（窦性心律不齐）,,,一般迷走神经性心律失常不出现临床症状，临床意义不大，不需治疗。
sinus bradycardia,426177001,SB,窦性心动过缓,窦性P波频率<60次/分钟，一般不低于40次/分钟，24小时动态心电图窦性心搏<8万次。QRS波正常,,心率不低于每分钟50次，无症状者，无需治疗。
sinus rhythm,426783006,NSR,窦性心律,人在正常的情况下心率都是窦性心律（1）P波在Ⅰ、Ⅱ、aVF导联直立，aVR倒置。（2）P-R间期0.12～0.20秒。,,心率不低于每分钟50次，无症状者，无需治疗
sinus tachycardia,427084000,STach,窦性心动过速,PⅡ直立，PavR倒置，窦性心动过速时的P波较正常窦性心律时的P波振幅稍高。在Ⅱ-Ⅲ导联中更明显。                                                                                        成人P波频率100～160次/分钟，多在130次/分钟左右，个别可达160～180/分钟。,,它不是一种原发性心律失常
t wave abnormal,164934002,TAb,T波异常,如果T波只是低平表现，没有病理学意义，不需要治疗；           2、如果T波倒置,,这种异常可能是很有意义的。如果是生理性（情绪等）引起的T波异常不需要治疗；如果是心脏病引起的T波异常的情况，需要及时的治疗。
t wave inversion,59931005,TInv,T波倒置,"单独的T波倒置出现在下列情况时常提示冠状动脉机能不全：
①倒置T波呈明显箭头状、对称，并且ST段停留在等电位线上较长时间（大于0.12秒）；
②Q—T间期延长；",,T波低平或倒置见于：心肌缺血(急慢性冠状动脉供血不足)、心肌梗死、心包炎、心肌炎、心室肥大、植物神经功能失调、低钾血症、脑血管意外、体位改变等。
