epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_acc,val_acc
epoch_0_2022-09-21 18:13:19,112.71s,0.00100000,1.4034,0.0000,1.2829,0.0000,0.4391
epoch_1_2022-09-21 18:17:21,229.87s,0.00100000,1.2836,0.0000,1.2249,0.0000,0.5117
epoch_2_2022-09-21 18:21:42,248.87s,0.00100000,1.1925,0.0000,1.1132,0.0000,0.5626
epoch_3_2022-09-21 18:26:03,249.23s,0.00100000,1.0995,0.0000,1.1016,0.0000,0.5733
epoch_4_2022-09-21 18:30:33,256.45s,0.00100000,1.0624,0.0000,1.0052,0.0000,0.5939
epoch_5_2022-09-21 18:34:55,250.93s,0.00100000,1.0387,0.0000,0.9451,0.0000,0.6166
epoch_6_2022-09-21 18:39:18,250.83s,0.00100000,1.0089,0.0000,0.9686,0.0000,0.5613
epoch_7_2022-09-21 18:43:37,245.43s,0.00100000,0.9999,0.0000,0.9030,0.0000,0.6350
epoch_8_2022-09-21 18:47:58,249.29s,0.00100000,0.9795,0.0000,0.8885,0.0000,0.6420
epoch_9_2022-09-21 18:52:18,248.00s,0.00100000,0.9741,0.0000,0.8492,0.0000,0.6545
epoch_10_2022-09-21 18:56:39,249.59s,0.00100000,0.9281,0.0000,0.9192,0.0000,0.6172
epoch_11_2022-09-21 19:01:01,249.31s,0.00100000,0.9136,0.0000,0.8683,0.0000,0.6496
epoch_12_2022-09-21 19:05:23,249.18s,0.00100000,0.9206,0.0000,0.7253,0.0000,0.7286
epoch_13_2022-09-21 19:09:43,247.97s,0.00100000,0.9015,0.0000,0.7354,0.0000,0.7339
epoch_14_2022-09-21 19:14:08,252.43s,0.00100000,0.8714,0.0000,0.7664,0.0000,0.6902
epoch_15_2022-09-21 19:18:30,250.16s,0.00010000,0.8475,0.0000,0.7557,0.0000,0.6999
epoch_16_2022-09-21 19:22:56,252.64s,0.00010000,0.7490,0.0000,0.6339,0.0000,0.7513
epoch_17_2022-09-21 19:27:20,251.97s,0.00010000,0.7237,0.0000,0.5405,0.0000,0.7903
epoch_18_2022-09-21 19:31:46,253.58s,0.00010000,0.6843,0.0000,0.5298,0.0000,0.8038
epoch_19_2022-09-21 19:36:12,254.42s,0.00010000,0.6741,0.0000,0.5252,0.0000,0.7987
epoch_20_2022-09-21 19:40:41,256.82s,0.00010000,0.6559,0.0000,0.4965,0.0000,0.8193
epoch_21_2022-09-21 19:45:04,250.35s,0.00010000,0.6389,0.0000,0.5398,0.0000,0.7947
epoch_22_2022-09-21 19:49:31,254.31s,0.00010000,0.6160,0.0000,0.4862,0.0000,0.8076
epoch_23_2022-09-21 19:53:57,254.20s,0.00010000,0.5993,0.0000,0.4490,0.0000,0.8367
epoch_24_2022-09-21 19:58:20,251.64s,0.00010000,0.5903,0.0000,0.4100,0.0000,0.8449
epoch_25_2022-09-21 20:02:46,254.31s,0.00010000,0.5681,0.0000,0.3918,0.0000,0.8484
epoch_26_2022-09-21 20:07:07,248.41s,0.00010000,0.5561,0.0000,0.4117,0.0000,0.8581
epoch_27_2022-09-21 20:11:30,250.09s,0.00010000,0.5326,0.0000,0.3842,0.0000,0.8616
epoch_28_2022-09-21 20:15:51,249.27s,0.00010000,0.5279,0.0000,0.3339,0.0000,0.8655
epoch_29_2022-09-21 20:19:29,206.23s,0.00010000,0.4972,0.0000,0.3557,0.0000,0.8684
epoch_30_2022-09-21 20:23:43,241.20s,0.00010000,0.4849,0.0000,0.3664,0.0000,0.8619
epoch_31_2022-09-21 20:28:05,249.37s,0.00001000,0.4734,0.0000,0.2889,0.0000,0.8964
epoch_32_2022-09-21 20:32:30,253.63s,0.00001000,0.4533,0.0000,0.2661,0.0000,0.9063
epoch_33_2022-09-21 20:35:37,179.19s,0.00001000,0.4530,0.0000,0.2804,0.0000,0.8858
epoch_34_2022-09-21 20:37:38,112.68s,0.00001000,0.4513,0.0000,0.2643,0.0000,0.9000
epoch_35_2022-09-21 20:40:17,147.04s,0.00001000,0.4370,0.0000,0.2992,0.0000,0.8844
epoch_36_2022-09-21 20:44:40,250.88s,0.00001000,0.4454,0.0000,0.3189,0.0000,0.8755
epoch_37_2022-09-21 20:47:40,172.21s,0.00001000,0.4389,0.0000,0.3118,0.0000,0.8830
epoch_38_2022-09-21 20:49:41,112.56s,0.00001000,0.4334,0.0000,0.2567,0.0000,0.9024
epoch_39_2022-09-21 20:51:43,113.82s,0.00001000,0.4351,0.0000,0.2976,0.0000,0.8886
epoch_40_2022-09-21 20:53:44,113.58s,0.00001000,0.4409,0.0000,0.2562,0.0000,0.8994
epoch_41_2022-09-21 20:57:15,198.98s,0.00001000,0.4347,0.0000,0.2436,0.0000,0.9014
epoch_42_2022-09-21 21:01:34,247.73s,0.00001000,0.4349,0.0000,0.2554,0.0000,0.9045
epoch_43_2022-09-21 21:05:56,250.45s,0.00001000,0.4353,0.0000,0.2555,0.0000,0.8942
epoch_44_2022-09-21 21:10:15,247.55s,0.00001000,0.4372,0.0000,0.2527,0.0000,0.9059
epoch_45_2022-09-21 21:14:34,247.59s,0.00001000,0.4268,0.0000,0.2695,0.0000,0.9005
epoch_46_2022-09-21 21:18:56,249.91s,0.00001000,0.4127,0.0000,0.2911,0.0000,0.8937
epoch_47_2022-09-21 21:23:17,250.01s,0.00000100,0.4301,0.0000,0.2317,0.0000,0.9091
epoch_48_2022-09-21 21:27:38,249.65s,0.00000100,0.4236,0.0000,0.2306,0.0000,0.9089
epoch_49_2022-09-21 21:31:57,247.54s,0.00000100,0.4123,0.0000,0.2770,0.0000,0.8929
epoch_50_2022-09-21 21:36:21,251.68s,0.00000100,0.4232,0.0000,0.2341,0.0000,0.9094
epoch_51_2022-09-21 21:40:43,250.90s,0.00000100,0.4152,0.0000,0.2781,0.0000,0.8951
epoch_52_2022-09-21 21:45:01,245.43s,0.00000100,0.4123,0.0000,0.2893,0.0000,0.8928
