epoch,training_time,lr,train_loss,test_loss,train_acc,val_acc
epoch_0_2022-09-23 14:26:41,125.48s,0.00050000,1.3319,1.2486,0.5619,0.4855
epoch_1_2022-09-23 14:31:01,124.70s,0.00050000,1.1795,1.1680,0.6002,0.5360
epoch_2_2022-09-23 14:35:20,123.42s,0.00050000,1.0428,1.0153,0.7206,0.6109
epoch_3_2022-09-23 14:41:14,221.15s,0.00050000,0.9001,1.0027,0.8095,0.5965
epoch_4_2022-09-23 14:45:31,124.66s,0.00050000,0.7899,0.6758,0.8316,0.7391
epoch_5_2022-09-23 14:49:50,124.67s,0.00050000,0.6689,0.4880,0.9181,0.8386
epoch_6_2022-09-23 14:54:11,124.20s,0.00050000,0.5567,0.4322,0.9343,0.8387
epoch_7_2022-09-23 14:58:38,127.59s,0.00050000,0.4860,0.2792,0.9692,0.9233
epoch_8_2022-09-23 15:03:03,127.54s,0.00050000,0.4155,0.2531,0.9774,0.9254
epoch_9_2022-09-23 15:07:28,126.22s,0.00050000,0.3693,0.1820,0.9834,0.9551
epoch_10_2022-09-23 15:11:57,128.68s,0.00050000,0.3456,0.1867,0.9856,0.9496
epoch_11_2022-09-23 15:16:24,128.68s,0.00050000,0.3041,0.2378,0.9868,0.9140
epoch_12_2022-09-23 15:20:52,129.30s,0.00050000,0.3048,0.1034,0.9862,0.9719
epoch_13_2022-09-23 15:25:23,130.62s,0.00050000,0.2969,0.0823,0.9872,0.9810
epoch_14_2022-09-23 15:29:48,129.09s,0.00050000,0.2631,0.1111,0.9892,0.9671
epoch_15_2022-09-23 15:34:11,127.13s,0.00050000,0.2476,0.1431,0.9914,0.9550
epoch_16_2022-09-23 15:38:35,126.62s,0.00050000,0.2562,0.1242,0.9873,0.9528
epoch_17_2022-09-23 15:43:03,128.91s,0.00050000,0.2468,0.0672,0.9914,0.9762
epoch_18_2022-09-23 15:47:25,127.73s,0.00050000,0.2438,0.0584,0.9934,0.9803
epoch_19_2022-09-23 15:51:47,126.97s,0.00005000,0.2364,0.0546,0.9918,0.9813
epoch_20_2022-09-23 15:56:07,125.23s,0.00005000,0.1822,0.0368,0.9976,0.9855
epoch_21_2022-09-23 16:00:28,125.18s,0.00005000,0.1404,0.0222,0.9981,0.9894
epoch_22_2022-09-23 16:05:26,149.06s,0.00005000,0.1218,0.0184,0.9975,0.9869
