epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_avg_f1,val_avg_f1
epoch_0_2022-08-20 16:51:40,145.75s,0.00010000,1.0619,0.9376,0.9019,0.6910,0.6988
epoch_1_2022-08-20 16:56:21,143.92s,0.00010000,0.8526,0.9346,0.9136,0.6997,0.7153
epoch_2_2022-08-20 17:01:04,144.58s,0.00010000,0.7998,0.8028,0.8197,0.7255,0.7117
epoch_3_2022-08-20 17:05:45,144.99s,0.00010000,0.7782,0.8399,0.8342,0.6992,0.6997
epoch_4_2022-08-20 17:10:24,144.59s,0.00010000,0.7498,0.7350,0.7597,0.7556,0.7475
epoch_5_2022-08-20 17:15:05,144.34s,0.00010000,0.7309,0.6827,0.7308,0.7608,0.7452
epoch_6_2022-08-20 17:19:47,143.94s,0.00010000,0.7129,0.6318,0.7278,0.7684,0.7507
epoch_7_2022-08-20 17:24:28,143.81s,0.00010000,0.6873,0.5927,0.7059,0.7785,0.7498
epoch_8_2022-08-20 17:29:36,144.26s,0.00010000,0.6534,0.5073,0.7058,0.8121,0.7599
epoch_9_2022-08-20 17:34:16,144.16s,0.00001000,0.6080,0.4395,0.7701,0.8405,0.7640
epoch_10_2022-08-20 17:38:56,143.81s,0.00001000,0.4896,0.3782,0.8150,0.8592,0.7516
