epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_acc,val_acc
epoch_0_2022-08-28 21:50:17,114.98s,0.00001000,1.7140,0.0000,1.3901,0.0000,0.4520
epoch_1_2022-08-28 21:52:18,113.03s,0.00001000,1.5071,0.0000,1.3545,0.0000,0.4520
epoch_2_2022-08-28 21:54:21,113.63s,0.00001000,1.4608,0.0000,1.3306,0.0000,0.4520
epoch_3_2022-08-28 21:56:23,113.51s,0.00001000,1.4257,0.0000,1.3153,0.0000,0.4525
epoch_4_2022-08-28 21:58:25,113.56s,0.00001000,1.4017,0.0000,1.2825,0.0000,0.4572
epoch_5_2022-08-28 22:00:26,113.20s,0.00001000,1.3389,0.0000,1.2079,0.0000,0.5321
epoch_6_2022-08-28 22:02:28,113.22s,0.00001000,1.2671,0.0000,1.1410,0.0000,0.5517
epoch_7_2022-08-28 22:04:30,113.44s,0.00001000,1.2208,0.0000,1.1143,0.0000,0.5686
epoch_8_2022-08-28 22:06:32,113.31s,0.00001000,1.1940,0.0000,1.0932,0.0000,0.5700
epoch_9_2022-08-28 22:08:34,113.35s,0.00000100,1.1732,0.0000,1.0669,0.0000,0.5798
epoch_10_2022-08-28 22:10:36,113.57s,0.00000100,1.1532,0.0000,1.0669,0.0000,0.5774
epoch_11_2022-08-28 22:12:38,113.35s,0.00000100,1.1454,0.0000,1.0649,0.0000,0.5765
epoch_12_2022-08-28 22:14:40,113.40s,0.00000100,1.1470,0.0000,1.0635,0.0000,0.5779
epoch_13_2022-08-28 22:16:42,113.36s,0.00000100,1.1434,0.0000,1.0616,0.0000,0.5793
epoch_14_2022-08-28 22:18:44,113.43s,0.00000100,1.1430,0.0000,1.0598,0.0000,0.5779
epoch_15_2022-08-28 22:20:46,113.73s,0.00000100,1.1451,0.0000,1.0597,0.0000,0.5835
epoch_16_2022-08-28 22:22:49,113.46s,0.00000100,1.1356,0.0000,1.0572,0.0000,0.5812
epoch_17_2022-08-28 22:24:51,113.67s,0.00000100,1.1348,0.0000,1.0569,0.0000,0.5868
epoch_18_2022-08-28 22:26:52,113.06s,0.00000100,1.1367,0.0000,1.0540,0.0000,0.5859
