epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_acc,val_acc
epoch_0_2022-09-08 15:16:01,142.36s,0.00100000,1.2312,0.0000,0.8856,0.0000,0.6760
epoch_1_2022-09-08 15:18:38,137.77s,0.00100000,0.9467,0.0000,0.8680,0.0000,0.6924
epoch_2_2022-09-08 15:21:45,167.91s,0.00100000,0.8855,0.0000,0.8978,0.0000,0.6911
epoch_3_2022-09-08 15:24:16,132.43s,0.00100000,0.8483,0.0000,0.8407,0.0000,0.6929
epoch_4_2022-09-08 15:26:45,131.00s,0.00100000,0.8240,0.0000,0.7220,0.0000,0.7480
epoch_5_2022-09-08 15:29:15,131.72s,0.00100000,0.8191,0.0000,0.8485,0.0000,0.6912
epoch_6_2022-09-08 15:31:44,130.03s,0.00100000,0.7779,0.0000,0.7855,0.0000,0.7337
epoch_7_2022-09-08 15:34:01,120.98s,0.00100000,0.7789,0.0000,0.7297,0.0000,0.7202
epoch_8_2022-09-08 15:36:14,117.56s,0.00100000,0.7522,0.0000,0.7537,0.0000,0.7377
epoch_9_2022-09-08 15:38:28,117.46s,0.00100000,0.7332,0.0000,0.6776,0.0000,0.7547
epoch_10_2022-09-08 15:40:43,118.10s,0.00100000,0.6981,0.0000,0.7014,0.0000,0.7416
epoch_11_2022-09-08 15:42:57,117.96s,0.00100000,0.6745,0.0000,0.7316,0.0000,0.7513
epoch_12_2022-09-08 15:45:11,117.89s,0.00100000,0.6719,0.0000,0.5904,0.0000,0.7819
epoch_13_2022-09-08 15:47:26,118.87s,0.00100000,0.6470,0.0000,0.5845,0.0000,0.8003
epoch_14_2022-09-08 15:49:41,118.15s,0.00100000,0.6209,0.0000,0.6000,0.0000,0.7894
epoch_15_2022-09-08 15:51:56,118.52s,0.00010000,0.5831,0.0000,0.5970,0.0000,0.7880
epoch_16_2022-09-08 15:54:11,118.97s,0.00010000,0.4705,0.0000,0.4554,0.0000,0.8317
epoch_17_2022-09-08 15:56:25,117.62s,0.00010000,0.4464,0.0000,0.3443,0.0000,0.8734
epoch_18_2022-09-08 15:58:40,118.09s,0.00010000,0.4151,0.0000,0.3364,0.0000,0.8780
epoch_19_2022-09-08 16:00:56,119.84s,0.00010000,0.4002,0.0000,0.3005,0.0000,0.8895
epoch_20_2022-09-08 16:03:16,124.17s,0.00010000,0.3740,0.0000,0.2841,0.0000,0.8972
epoch_21_2022-09-08 16:05:35,121.94s,0.00010000,0.3522,0.0000,0.3293,0.0000,0.8789
epoch_22_2022-09-08 16:07:56,121.42s,0.00010000,0.3396,0.0000,0.2521,0.0000,0.9050
epoch_23_2022-09-08 16:11:35,203.05s,0.00010000,0.3197,0.0000,0.2478,0.0000,0.9104
epoch_24_2022-09-08 16:14:04,131.80s,0.00010000,0.3051,0.0000,0.2128,0.0000,0.9289
epoch_25_2022-09-08 16:17:52,205.11s,0.00010000,0.2868,0.0000,0.1696,0.0000,0.9345
epoch_26_2022-09-08 16:20:42,153.73s,0.00010000,0.2672,0.0000,0.1753,0.0000,0.9265
epoch_27_2022-09-08 16:22:54,116.11s,0.00010000,0.2465,0.0000,0.1704,0.0000,0.9357
epoch_28_2022-09-08 16:25:08,117.84s,0.00010000,0.2346,0.0000,0.1249,0.0000,0.9491
epoch_29_2022-09-08 16:27:26,121.70s,0.00010000,0.2073,0.0000,0.1223,0.0000,0.9462
epoch_30_2022-09-08 16:29:43,119.19s,0.00010000,0.1926,0.0000,0.1235,0.0000,0.9410
epoch_31_2022-09-08 16:32:04,125.26s,0.00001000,0.1818,0.0000,0.0875,0.0000,0.9666
epoch_32_2022-09-08 16:34:23,121.37s,0.00001000,0.1646,0.0000,0.0666,0.0000,0.9681
epoch_33_2022-09-08 16:36:46,125.74s,0.00001000,0.1541,0.0000,0.0659,0.0000,0.9691
epoch_34_2022-09-08 16:39:03,119.97s,0.00001000,0.1592,0.0000,0.0617,0.0000,0.9706
epoch_35_2022-09-08 16:42:36,188.48s,0.00001000,0.1475,0.0000,0.0831,0.0000,0.9639
epoch_36_2022-09-08 16:46:46,227.17s,0.00001000,0.1495,0.0000,0.0837,0.0000,0.9607
